法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行
法律,明治四十三年法律第五十四号,関税定率法,かんぜいていりつほう,,明治四十三年四月十五日,関税定率法等の一部を改正する法律,令和七年法律第十六号,令和七年三月三十一日,令和七年四月一日,,143AC0000000054,https://laws.e-gov.go.jp/law/143AC0000000054/20250401_507AC0000000016,
法律,昭和二十二年法律第百七十五号,昭和二十二年法律第百七十五号（災害被害者に対する租税の減免、徴収猶予等に関する法律）,さいがいひがいしゃにたいするそぜいのげんめんちょうしゅうゆうよとうにかんするほうりつ,,昭和二十二年十二月十三日,所得税法等の一部を改正する法律,令和三年法律第十一号,令和三年三月三十一日,令和四年一月一日,,322AC0000000175,https://laws.e-gov.go.jp/law/322AC0000000175/20220101_503AC0000000011,
政令,昭和二十二年政令第二百六十八号,昭和二十二年政令第二百六十八号（災害被害者に対する租税の減免、徴収猶予等に関する法律の施行に関する政令）,さいがいひがいしゃにたいするそぜいのげんめんちょうしゅうゆうよとうにかんするほうりつのしこうにかんするせいれい,,昭和二十二年十二月十三日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るためのデジタル社会形成基本法等の一部を改正する法律の一部の施行に伴う関係政令の整備等及び経過措置に関する政令,令和七年政令第六号,令和七年一月十七日,令和七年四月一日,,322CO0000000268,https://laws.e-gov.go.jp/law/322CO0000000268/20250401_507CO0000000006,
政令,昭和二十二年政令第二百六十八号,昭和二十二年政令第二百六十八号（災害被害者に対する租税の減免、徴収猶予等に関する法律の施行に関する政令）,さいがいひがいしゃにたいするそぜいのげんめんちょうしゅうゆうよとうにかんするほうりつのしこうにかんするせいれい,,昭和二十二年十二月十三日,所得税法施行令等の一部を改正する政令,令和七年政令第百二十号,令和七年三月三十一日,令和七年十二月一日,,322CO0000000268,https://laws.e-gov.go.jp/law/322CO0000000268/20251201_507CO0000000120,○
法律,昭和二十五年法律第七十三号,相続税法,そうぞくぜいほう,,昭和二十五年三月三十一日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律　抄,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,325AC0000000073,https://laws.e-gov.go.jp/law/325AC0000000073/20250601_504AC0000000068,
法律,昭和二十五年法律第七十三号,相続税法,そうぞくぜいほう,,昭和二十五年三月三十一日,所得税法等の一部を改正する法律,令和六年法律第八号,令和六年三月三十日,令和八年五月二十一日,公益信託に関する法律（令和六年法律第三十号）の施行の日,325AC0000000073,https://laws.e-gov.go.jp/law/325AC0000000073/20260521_506AC0000000008,○
法律,昭和二十五年法律第七十三号,相続税法,そうぞくぜいほう,,昭和二十五年三月三十一日,所得税法等の一部を改正する法律,令和五年法律第三号,令和五年三月三十一日,令和九年一月一日,,325AC0000000073,https://laws.e-gov.go.jp/law/325AC0000000073/20270101_505AC0000000003,○
法律,昭和二十五年法律第七十三号,相続税法,そうぞくぜいほう,,昭和二十五年三月三十一日,所得税法等の一部を改正する法律,令和六年法律第八号,令和六年三月三十日,令和九年一月一日,,325AC0000000073,https://laws.e-gov.go.jp/law/325AC0000000073/20270101_506AC0000000008,○
法律,昭和二十五年法律第百十号,資産再評価法,しさんさいひょうかほう,,昭和二十五年四月二十五日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,325AC0000000110,https://laws.e-gov.go.jp/law/325AC0000000110/20250601_504AC0000000068,
政令,昭和二十五年政令第七十一号,相続税法施行令,そうぞくぜいほうしこうれい,,昭和二十五年三月三十一日,相続税法施行令の一部を改正する政令,令和七年政令第百二十三号,令和七年三月三十一日,令和七年四月一日,,325CO0000000071,https://laws.e-gov.go.jp/law/325CO0000000071/20250401_507CO0000000123,
政令,昭和二十五年政令第七十一号,相続税法施行令,そうぞくぜいほうしこうれい,,昭和二十五年三月三十一日,相続税法施行令の一部を改正する政令,令和六年政令第百四十三号,令和六年三月三十日,令和八年五月二十一日,公益信託に関する法律（令和六年法律第三十号）の施行の日,325CO0000000071,https://laws.e-gov.go.jp/law/325CO0000000071/20260521_506CO0000000143,○
政令,昭和二十五年政令第九十五号,資産再評価法施行令,しさんさいひょうかほうしこうれい,,昭和二十五年四月二十五日,,昭和四十七年政令第百五十二号,昭和四十七年五月一日,昭和四十七年五月一日,,325CO0000000095,https://laws.e-gov.go.jp/law/325CO0000000095/19720501_347CO0000000152,
府省令,昭和二十五年大蔵省令第十七号,相続税法施行規則,そうぞくぜいほうせこうきそく,,昭和二十五年三月三十一日,相続税法施行規則の一部を改正する省令,令和七年財務省令第二十一号,令和七年三月三十一日,令和七年四月一日,,325M50000040017,https://laws.e-gov.go.jp/law/325M50000040017/20250401_507M60000040021,
府省令,昭和二十五年大蔵省令第十七号,相続税法施行規則,そうぞくぜいほうせこうきそく,,昭和二十五年三月三十一日,相続税法施行規則の一部を改正する省令,令和六年財務省令第十六号,令和六年三月三十日,令和八年九月一日,,325M50000040017,https://laws.e-gov.go.jp/law/325M50000040017/20260901_506M60000040016,○
府省令,昭和二十五年大蔵省令第二十二号,相続税の物納財産収納後の手続等に関する省令,そうぞくぜいのぶつのうざいさんしゅうのうのちのてつづきとうにかんするしょうれい,,昭和二十五年三月三十一日,相続税の物納財産収納後の手続等に関する省令の一部を改正する省令,令和三年財務省令第三十号,令和三年三月三十一日,令和三年四月一日,,325M50000040022,https://laws.e-gov.go.jp/law/325M50000040022/20210401_503M60000040030,
府省令,昭和二十五年大蔵省令第三十七号,資産再評価法施行規則,しさんさいひょうかほうしこうきそく,,昭和二十五年四月二十五日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るためのデジタル社会形成基本法等の一部を改正する法律の一部の施行に伴う財務省関係省令の整理に関する省令,令和七年財務省令第三十四号,令和七年三月三十一日,令和七年四月一日,,325M50000040037,https://laws.e-gov.go.jp/law/325M50000040037/20250401_507M60000040034,
府省令,昭和二十五年大蔵省令第五十四号,資産再評価の基準の特例に関する省令,しさんさいひょうかのきじゅんのとくれいにかんするしょうれい,,昭和二十五年五月二十六日,,昭和二十八年大蔵省令第六十三号,昭和二十八年八月七日,昭和二十八年八月七日,,325M50000040054,https://laws.e-gov.go.jp/law/325M50000040054/19530807_328M50000040063,
法律,昭和二十六年法律第百四十五号,納税貯蓄組合法,のうぜいちょちくくみあいほう,,昭和二十六年四月十日,新型コロナウイルス感染症等の影響による社会経済情勢の変化に対応して金融の機能の強化及び安定の確保を図るための銀行法等の一部を改正する法律,令和三年法律第四十六号,令和三年五月二十六日,令和三年十一月二十二日,,326AC1000000145,https://laws.e-gov.go.jp/law/326AC1000000145/20211122_503AC0000000046,
法律,昭和二十六年法律第二百三十七号,税理士法,ぜいりしほう,,昭和二十六年六月十五日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,326AC1000000237,https://laws.e-gov.go.jp/law/326AC1000000237/20250601_504AC0000000068,
法律,昭和二十六年法律第二百三十七号,税理士法,ぜいりしほう,,昭和二十六年六月十五日,民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律,令和五年法律第五十三号,令和五年六月十四日,令和七年十二月十三日,公布の日から起算して二年六月を超えない範囲内において政令で定める日,326AC1000000237,https://laws.e-gov.go.jp/law/326AC1000000237/20251213_505AC0000000053,○
法律,昭和二十六年法律第二百三十七号,税理士法,ぜいりしほう,,昭和二十六年六月十五日,民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律,令和五年法律第五十三号,令和五年六月十四日,令和十年六月十三日,公布の日から起算して五年を超えない範囲内において政令で定める日,326AC1000000237,https://laws.e-gov.go.jp/law/326AC1000000237/20280613_505AC0000000053,○
政令,昭和二十六年政令第九十九号,納税貯蓄組合法施行令,のうぜいちょちくくみあいほうせこうれい,,昭和二十六年四月十日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律の施行に伴う関係政令の整備等に関する政令,令和元年政令第百八十三号,令和元年十二月十三日,令和元年十二月十六日,,326CO0000000099,https://laws.e-gov.go.jp/law/326CO0000000099/20191216_501CO0000000183,
政令,昭和二十六年政令第二百十六号,税理士法施行令,ぜいりしほうしこうれい,,昭和二十六年六月十五日,税理士法施行令の一部を改正する政令,令和五年政令第百四十六号,令和五年三月三十一日,令和六年四月一日,,326CO0000000216,https://laws.e-gov.go.jp/law/326CO0000000216/20240401_505CO0000000146,
府省令,昭和二十六年大蔵省令第五十五号,税理士法施行規則,ぜいりしほうしこうきそく,,昭和二十六年六月十五日,税理士法施行規則の一部を改正する省令,令和六年財務省令第二十五号,令和六年三月三十日,令和六年五月二十七日,,326M50000040055,https://laws.e-gov.go.jp/law/326M50000040055/20240527_506M60000040025,
府省令,昭和二十六年大蔵省令第五十五号,税理士法施行規則,ぜいりしほうしこうきそく,,昭和二十六年六月十五日,税理士法施行規則の一部を改正する省令,令和六年財務省令第二十五号,令和六年三月三十日,令和八年九月一日,,326M50000040055,https://laws.e-gov.go.jp/law/326M50000040055/20260901_506M60000040025,○
法律,昭和二十七年法律第百十一号,日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う所得税法等の臨時特例に関する法律,にほんこくとあめりかがっしゅうこくとのあいだのそうごきょうりょくおよびあんぜんほしょうじょうやくだいろくじょうにもとづくしせつおよびくいきならびににほんこくにおけるがっしゅうこくぐんたいのちいにかんするきょうていのじっしにともなうしょとくぜいほうとうのりんじとくれいにかんするほうりつ,,昭和二十七年四月二十八日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,327AC0000000111,https://laws.e-gov.go.jp/law/327AC0000000111/20250601_504AC0000000068,
法律,昭和二十七年法律第百十二号,日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う関税法等の臨時特例に関する法律,にほんこくとあめりかがっしゅうこくとのあいだのそうごきょうりょくおよびあんぜんほしょうじょうやくだいろくじょうにもとづくしせつおよびくいきならびににほんこくにおけるがっしゅうこくぐんたいのちいにかんするきょうていのじっしにともなうかんぜいほうとうのりんじとくれいにかんするほうりつ,,昭和二十七年四月二十八日,関税定率法等の一部を改正する法律,平成二十九年法律第十三号,平成二十九年三月三十一日,平成三十一年三月十七日,,327AC0000000112,https://laws.e-gov.go.jp/law/327AC0000000112/20190317_429AC0000000013,
法律,昭和二十七年法律第百十三号,日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う国税通則法等の臨時特例に関する法律,にほんこくとあめりかがっしゅうこくとのあいだのそうごきょうりょくおよびあんぜんほしょうじょうやくだいろくじょうにもとづくしせつおよびくいきならびににほんこくにおけるがっしゅうこくぐんたいのちいにかんするきょうていのじっしにともなうこくぜいはんそくとりしまりほうとうのりんじとくれいにかんするほうりつ,"日本国とアメリカ合衆国との間の安全保障条約第三条に基く行政協定の実施に伴う国税犯則取締法等の臨時特例に関する法律,日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う国税犯則取締法等の臨時特例に関する法律",昭和二十七年四月二十八日,所得税法等の一部を改正する等の法律,平成二十九年法律第四号,平成二十九年三月三十一日,平成三十年四月一日,,327AC0000000113,https://laws.e-gov.go.jp/law/327AC0000000113/20180401_429AC0000000004,
政令,昭和二十七年政令第五十七号,鹿児島県大島郡十島村に関する所得税法等の適用及びこれに伴う経過措置に関する政令,かごしまけんおおしまぐんとしまむらにかんするしょとくぜいほうとうのてきようおよびこれにともなうけいかそちにかんするせいれい,,昭和二十七年三月三十一日,,,昭和二十七年三月三十一日,昭和二十七年十月一日,,327CO0000000057,https://laws.e-gov.go.jp/law/327CO0000000057/19521001_000000000000000,
政令,昭和二十七年政令第百二十四号,日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う所得税法等の臨時特例に関する法律施行令,にほんこくとあめりかがっしゅうこくとのあいだのそうごきょうりょくおよびあんぜんほしょうじょうやくだいろくじょうにもとづくしせつおよびくいきならびににほんこくにおけるがっしゅうこくぐんたいのちいにかんするきょうていのじっしにともなうしょとくぜいほうとうのりんじとくれいにかんするほうりつせこうれい,,昭和二十七年四月二十八日,法人税法施行令等の一部を改正する政令,令和二年政令第二百七号,令和二年六月二十六日,令和四年四月一日,,327CO0000000124,https://laws.e-gov.go.jp/law/327CO0000000124/20220401_502CO0000000207,
政令,昭和二十七年政令第百二十五号,日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う関税法等の臨時特例に関する法律施行令,にほんこくとあめりかがっしゅうこくとのあいだのそうごきょうりょくおよびあんぜんほしょうじょうやくだいろくじょうにもとづくしせつおよびくいきならびににほんこくにおけるがっしゅうこくぐんたいのちいにかんするきょうていのじっしにともなうかんぜいほうとうのりんじとくれいにかんするほうりつせこうれい,,昭和二十七年四月二十八日,関税定率法等の一部を改正する法律の一部の施行に伴う関係政令の整備に関する政令,平成二十八年政令第二百四十号,平成二十八年六月十七日,平成二十九年十月八日,,327CO0000000125,https://laws.e-gov.go.jp/law/327CO0000000125/20171008_428CO0000000240,
法律,昭和二十八年法律第六号,酒税法,しゅぜいほう,,昭和二十八年二月二十八日,風俗営業等の規制及び業務の適正化等に関する法律の一部を改正する法律,令和七年法律第四十五号,令和七年五月二十八日,令和七年六月二十八日,,328AC0000000006,https://laws.e-gov.go.jp/law/328AC0000000006/20250628_507AC0000000045,
法律,昭和二十八年法律第六号,酒税法,しゅぜいほう,,昭和二十八年二月二十八日,事業性融資の推進等に関する法律,令和六年法律第五十二号,令和六年六月十四日,令和八年十二月十三日,公布の日から起算して二年六月を超えない範囲内において政令で定める日,328AC0000000006,https://laws.e-gov.go.jp/law/328AC0000000006/20261213_506AC0000000052,○
法律,昭和二十八年法律第七号,酒税の保全及び酒類業組合等に関する法律,しゅぜいのほぜんおよびさけるいぎょうくみあいとうにかんするほうりつ,,昭和二十八年二月二十八日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,328AC0000000007,https://laws.e-gov.go.jp/law/328AC0000000007/20250601_504AC0000000068,
政令,昭和二十八年政令第二十八号,酒税の保全及び酒類業組合等に関する法律施行令,しゅぜいのほぜんおよびさけるいぎょうくみあいとうにかんするほうりつしこうれい,,昭和二十八年三月四日,酒税の保全及び酒類業組合等に関する法律施行令の一部を改正する政令,令和四年政令第百五十一号,令和四年三月三十一日,令和四年四月一日,,328CO0000000028,https://laws.e-gov.go.jp/law/328CO0000000028/20220401_504CO0000000151,
政令,昭和二十八年政令第四百七号,奄美群島の復帰に伴う国税関係法令の適用の暫定措置等に関する政令,あまみぐんとうのふっきにともなうこくぜいかんけいほうれいのてきようのざんていそちとうにかんするせいれい,,昭和二十八年十二月二十四日,,昭和四十一年政令第七十八号,昭和四十一年三月三十一日,昭和四十一年三月三十一日,,328CO0000000407,https://laws.e-gov.go.jp/law/328CO0000000407/19660331_341CO0000000078,
府省令,昭和二十八年大蔵省令第九号,連続式蒸留機の新設及び拡張の臨時制限に関する省令,れんぞくしきじょうりゅうきのしんせつおよびかくちょうのりんじせいげんにかんするしょうれい,,昭和二十八年二月二十八日,,平成十八年財務省令第二十五号,平成十八年三月三十一日,平成十八年五月一日,,328M50000040009,https://laws.e-gov.go.jp/law/328M50000040009/20060501_418M60000040025,
府省令,昭和二十八年大蔵省令第十一号,酒税の保全及び酒類業組合等に関する法律施行規則,しゅぜいのほぜんおよびさけるいぎょうくみあいとうにかんするほうりつしこうきそく,,昭和二十八年三月六日,酒税の保全及び酒類業組合等に関する法律施行規則の一部を改正する省令,令和元年財務省令第三十三号,令和元年十一月二十九日,令和四年四月一日,,328M50000040011,https://laws.e-gov.go.jp/law/328M50000040011/20220401_501M60000040033,
府省令,昭和二十八年大蔵省令第十一号,酒税の保全及び酒類業組合等に関する法律施行規則,しゅぜいのほぜんおよびさけるいぎょうくみあいとうにかんするほうりつしこうきそく,,昭和二十八年三月六日,酒税の保全及び酒類業組合等に関する法律施行規則の一部を改正する省令,令和六年財務省令第三十二号,令和六年三月三十日,令和八年九月一日,,328M50000040011,https://laws.e-gov.go.jp/law/328M50000040011/20260901_506M60000040032,○
法律,昭和二十九年法律第六十一号,関税法,かんぜいほう,,昭和二十九年四月二日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律　抄,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,329AC0000000061,https://laws.e-gov.go.jp/law/329AC0000000061/20250601_504AC0000000068,
法律,昭和二十九年法律第六十一号,関税法,かんぜいほう,,昭和二十九年四月二日,関税定率法等の一部を改正する法律,令和七年法律第十六号,令和七年三月三十一日,令和九年一月一日,,329AC0000000061,https://laws.e-gov.go.jp/law/329AC0000000061/20270101_507AC0000000016,○
法律,昭和二十九年法律第百十号,株式会社以外の法人の再評価積立金の資本組入に関する法律,かぶしきがいしゃいがいのほうじんのさいひょうかつみたてきんのしほんくみはいにかんするほうりつ,,昭和二十九年五月十七日,会社法の施行に伴う関係法律の整備等に関する法律　抄,平成十七年法律第八十七号,平成十七年七月二十六日,平成十八年五月一日,,329AC0000000110,https://laws.e-gov.go.jp/law/329AC0000000110/20060501_417AC0000000087,
法律,昭和二十九年法律第百十二号,日本国とアメリカ合衆国との間の相互防衛援助協定の実施に伴う関税法等の臨時特例に関する法律,にほんこくとあめりかがっしゅうこくとのあいだのそうごぼうえいえんじょきょうていのじっしにともなうかんぜいほうとうのりんじとくれいにかんするほうりつ,,昭和二十九年五月十八日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,329AC0000000112,https://laws.e-gov.go.jp/law/329AC0000000112/20250601_504AC0000000068,
法律,昭和二十九年法律第百四十九号,日本国における国際連合の軍隊の地位に関する協定の実施に伴う所得税法等の臨時特例に関する法律,にほんこくにおけるこくさいれんごうのぐんたいのちいにかんするきょうていのじっしにともなうしょとくぜいほうとうのりんじとくれいにかんするほうりつ,,昭和二十九年六月一日,国際観光旅客税法,平成三十年法律第十六号,平成三十年四月十八日,平成三十一年一月七日,,329AC0000000149,https://laws.e-gov.go.jp/law/329AC0000000149/20190107_430AC0000000016,
法律,昭和二十九年法律第百九十四号,遺産、相続及び贈与に対する租税に関する二重課税の回避及び脱税の防止のための日本国とアメリカ合衆国との間の条約の実施に伴う相続税法の特例等に関する法律,いさんそうぞくおよびぞうよにたいするそぜいにかんするにじゅうかぜいのかいひおよびだつぜいのぼうしのためのにほんこくとあめりかがっしゅうこくとのあいだのじょうやくのじっしにともなうそうぞくぜいほうのとくれいとうにかんするほうりつ,,昭和二十九年六月二十三日,,平成十一年法律第百六十号,平成十一年十二月二十二日,平成十三年一月六日,,329AC0000000194,https://laws.e-gov.go.jp/law/329AC0000000194/20010106_411AC0000000160,
政令,昭和二十九年政令第百三号,日本国とアメリカ合衆国との間の相互防衛援助協定の実施に伴う関税法等の臨時特例に関する法律施行令,にほんこくとあめりかがっしゅうこくとのあいだのそうごぼうえいえんじょきょうていのじっしにともなうかんぜいほうとうのりんじとくれいにかんするほうりつせこうれい,,昭和二十九年五月十八日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るためのデジタル社会形成基本法等の一部を改正する法律の一部の施行に伴う関係政令の整備等及び経過措置に関する政令,令和七年政令第六号,令和七年一月十七日,令和七年四月一日,,329CO0000000103,https://laws.e-gov.go.jp/law/329CO0000000103/20250401_507CO0000000006,
政令,昭和二十九年政令第百二十八号,日本国における国際連合の軍隊の地位に関する協定の実施に伴う所得税法等の臨時特例に関する法律施行令,にほんこくにおけるこくさいれんごうのぐんたいのちいにかんするきょうていのじっしにともなうしょとくぜいほうとうのりんじとくれいにかんするほうりつせこうれい,,昭和二十九年六月一日,国際観光旅客税法施行令,平成三十年政令第百六十一号,平成三十年四月十八日,平成三十一年一月七日,,329CO0000000128,https://laws.e-gov.go.jp/law/329CO0000000128/20190107_430CO0000000161,
政令,昭和二十九年政令第百五十号,関税法施行令,かんぜいほうしこうれい,,昭和二十九年六月十九日,関税定率法等の一部を改正する法律の施行に伴う関係政令の整備等に関する政令,令和七年政令第百四十一号,令和七年三月三十一日,令和七年四月一日,,329CO0000000150,https://laws.e-gov.go.jp/law/329CO0000000150/20250401_507CO0000000141,
政令,昭和二十九年政令第百五十号,関税法施行令,かんぜいほうしこうれい,,昭和二十九年六月十九日,関税法施行令の一部を改正する政令,令和五年政令第百七十九号,令和五年五月十二日,令和七年十月十二日,,329CO0000000150,https://laws.e-gov.go.jp/law/329CO0000000150/20251012_505CO0000000179,○
政令,昭和二十九年政令第百五十五号,関税定率法施行令,かんぜいていりつほうしこうれい,,昭和二十九年六月二十二日,関税定率法等の一部を改正する法律の施行に伴う関係政令の整備等に関する政令,令和七年政令第百四十一号,令和七年三月三十一日,令和七年四月一日,,329CO0000000155,https://laws.e-gov.go.jp/law/329CO0000000155/20250401_507CO0000000141,
政令,昭和二十九年政令第百六十四号,税関関係手数料令,ぜいかんかんけいてすうりょうれい,,昭和二十九年六月二十五日,関税定率法等の一部を改正する法律の施行に伴う関係政令の整備等に関する政令,令和七年政令第百四十一号,令和七年三月三十一日,令和七年四月一日,,329CO0000000164,https://laws.e-gov.go.jp/law/329CO0000000164/20250401_507CO0000000141,
府省令,昭和二十九年大蔵省令第六十四号,税関職員の身分を示す証票等の書式に関する省令,ぜいかんしょくいんのみぶんをしめすしょうひょうとうのしょしきにかんするしょうれい,,昭和二十九年七月一日,税関職員の身分を示す証票等の書式に関する省令の一部を改正する省令,令和四年財務省令第十一号,令和四年三月三十一日,令和四年四月一日,,329M50000040064,https://laws.e-gov.go.jp/law/329M50000040064/20220401_504M60000040011,
法律,昭和三十年法律第三十七号,輸入品に対する内国消費税の徴収等に関する法律,ゆにゅうひんにたいするないこくしょうひぜいのちょうしゅうとうにかんするほうりつ,,昭和三十年六月三十日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律　抄,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,330AC0000000037,https://laws.e-gov.go.jp/law/330AC0000000037/20250601_504AC0000000068,
法律,昭和三十年法律第百四号,地方揮発油税法,ちほうきはつゆぜいほう,,昭和三十年七月三十日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律　抄,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,330AC0000000104,https://laws.e-gov.go.jp/law/330AC0000000104/20250601_504AC0000000068,
法律,昭和三十年法律第百四号,地方揮発油税法,ちほうきはつゆぜいほう,,昭和三十年七月三十日,所得税法等の一部を改正する法律,平成三十一年法律第六号,平成三十一年三月二十九日,令和十六年四月一日,,330AC0000000104,https://laws.e-gov.go.jp/law/330AC0000000104/20340401_431AC0000000006,○
政令,昭和三十年政令第百号,輸入品に対する内国消費税の徴収等に関する法律施行令,ゆにゅうひんにたいするないこくしょうひぜいのちょうしゅうとうにかんするほうりつしこうれい,,昭和三十年六月三十日,海上運送法等の一部を改正する法律の一部の施行に伴う関係政令の整理等に関する政令,令和六年政令第三百七十二号,令和六年十二月十三日,令和七年四月一日,,330CO0000000100,https://laws.e-gov.go.jp/law/330CO0000000100/20250401_506CO0000000372,
政令,昭和三十年政令第百五十一号,地方揮発油税法施行令,ちほうきはつゆぜいほうしこうれい,,昭和三十年七月三十日,揮発油税法施行令の一部を改正する政令,令和六年政令第百四十八号,令和六年三月三十日,令和六年十月一日,,330CO0000000151,https://laws.e-gov.go.jp/law/330CO0000000151/20241001_506CO0000000148,
政令,昭和三十年政令第百五十一号,地方揮発油税法施行令,ちほうきはつゆぜいほうせこうれい,,昭和三十年七月三十日,地方揮発油税法施行令等の一部を改正する政令,平成三十一年政令第百号,平成三十一年三月二十九日,令和十六年四月一日,,330CO0000000151,https://laws.e-gov.go.jp/law/330CO0000000151/20340401_431CO0000000100,○
政令,昭和三十年政令第二百三十七号,関税定率法第五条の規定による便益関税の適用に関する政令,かんぜいていりつほうだいごじょうのきていによるべんえきかんぜいのてきようにかんするせいれい,,昭和三十年九月十日,関税定率法等の一部を改正する法律の施行に伴う関係政令の整備等に関する政令,令和七年政令第百四十一号,令和七年三月三十一日,令和七年四月一日,,330CO0000000237,https://laws.e-gov.go.jp/law/330CO0000000237/20250401_507CO0000000141,
法律,昭和三十二年法律第二十六号,租税特別措置法,そぜいとくべつそちほう,,昭和三十二年三月三十一日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律　抄,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,332AC0000000026,https://laws.e-gov.go.jp/law/332AC0000000026/20250601_504AC0000000068,
法律,昭和三十二年法律第二十六号,租税特別措置法,そぜいとくべつそちほう,,昭和三十二年三月三十一日,情報処理の促進に関する法律及び特別会計に関する法律の一部を改正する法律,令和七年法律第三十号,令和七年五月十四日,令和七年八月十三日,公布の日から起算して三月を超えない範囲内において政令で定める日,332AC0000000026,https://laws.e-gov.go.jp/law/332AC0000000026/20250813_507AC0000000030,○
法律,昭和三十二年法律第二十六号,租税特別措置法,そぜいとくべつそちほう,,昭和三十二年三月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和七年十一月二十八日,資源循環の促進のための再資源化事業等の高度化に関する法律（令和六年法律第四十一号）の施行の日,332AC0000000026,https://laws.e-gov.go.jp/law/332AC0000000026/20251128_507AC0000000013,○
法律,昭和三十二年法律第二十六号,租税特別措置法,そぜいとくべつそちほう,,昭和三十二年三月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和七年十二月一日,,332AC0000000026,https://laws.e-gov.go.jp/law/332AC0000000026/20251201_507AC0000000013,○
法律,昭和三十二年法律第二十六号,租税特別措置法,そぜいとくべつそちほう,,昭和三十二年三月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和七年十二月十七日,,332AC0000000026,https://laws.e-gov.go.jp/law/332AC0000000026/20251217_507AC0000000013,○
法律,昭和三十二年法律第二十六号,租税特別措置法,そぜいとくべつそちほう,,昭和三十二年三月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和八年一月一日,,332AC0000000026,https://laws.e-gov.go.jp/law/332AC0000000026/20260101_507AC0000000013,○
法律,昭和三十二年法律第二十六号,租税特別措置法,そぜいとくべつそちほう,,昭和三十二年三月三十一日,下請代金支払遅延等防止法及び下請中小企業振興法の一部を改正する法律,令和七年法律第四十一号,令和七年五月二十三日,令和八年一月一日,,332AC0000000026,https://laws.e-gov.go.jp/law/332AC0000000026/20260101_507AC0000000041,○
法律,昭和三十二年法律第二十六号,租税特別措置法,そぜいとくべつそちほう,,昭和三十二年三月三十一日,政治資金規正法等の一部を改正する法律,令和七年法律第二号,令和七年一月八日,令和八年一月一日,,332AC0000000026,https://laws.e-gov.go.jp/law/332AC0000000026/20260101_507AC1000000002,○
